month_year,bank_name,role_type,total_volume_mn,approved_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,total_decline_pct
2024-04,Andhra Pragathi Grameena Bank,Remitter,18.19,14.46,79.51,5.92,14.58,20.5
2024-04,RBL Bank Limited,Remitter,15.1,13.44,89.02,72,10.26,82.26
2025-04,State Bank of India,Remitter,4850.52,4454.23,91.83,0.75,7.42,8.17
2025-04,HDFC Bank Ltd.,Remitter,1471.2,1386.75,94.26,0,5.74,5.74
2025-04,Bank of Baroda,Remitter,1243.19,1115.64,89.74,0.01,10.25,10.26
2025-04,Union Bank of India,Remitter,1139.95,1041.23,91.34,0.47,8.18,8.65
2025-04,Punjab National Bank,Remitter,1033.6,939.54,90.9,0.36,8.74,9.1
2025-04,Kotak Mahindra Bank,Remitter,917.25,829.38,90.42,0,9.58,9.58
2025-04,Canara Bank,Remitter,876.59,805.41,91.88,0.14,7.97,8.11
2025-04,Axis Bank Ltd.,Remitter,837.82,784.95,93.69,0.01,6.3,6.31
2025-04,ICICI Bank Ltd.,Remitter,697.48,664.63,95.29,0.03,4.68,4.71
2025-04,Indian Bank,Remitter,581.43,532.01,91.5,0,8.5,8.5
2025-04,Bank Of India,Remitter,578.05,527.7,91.29,0.92,7.79,8.71
2025-04,Airtel Payments Bank Limited,Remitter,567.67,471.9,83.13,0.46,16.41,16.87
2025-04,India Post Payments Bank Limited,Remitter,554.68,477.41,86.07,0.21,13.73,13.94
2025-04,Indian Overseas Bank,Remitter,288.12,265.21,92.05,0.22,7.73,7.95
2025-04,Central Bank of India,Remitter,260.39,223.47,85.82,0.64,13.54,14.18
2025-04,UCO Bank,Remitter,252.89,225.75,89.27,0.33,10.4,10.73
2025-04,Federal Bank Ltd.,Remitter,245.91,225.01,91.5,0,8.49,8.49
2025-04,Fino Payments Bank Ltd.,Remitter,209.14,180.99,86.54,0.1,13.35,13.45
2025-04,Bank of Maharashtra,Remitter,205.33,189.21,92.15,0.05,7.8,7.85
2025-04,Indusind Bank Ltd.,Remitter,199.26,175.69,88.17,0.1,11.74,11.84
2025-04,IDBI Bank Ltd.,Remitter,195.97,181.7,92.72,0.15,7.12,7.27
2025-04,Yes Bank Ltd.,Remitter,168.8,150.59,89.21,0.03,10.76,10.79
2025-04,Karnataka Bank,Remitter,137.3,122.9,89.51,1.27,9.22,10.49
2025-04,IDFC Bank Ltd.,Remitter,111.75,102.41,91.64,0.01,8.35,8.36
2025-04,Tri O Tech Solutions Private Limited,Remitter,99.59,99.59,100,0,0,0
2025-04,The Jammu & Kashmir Bank Limited,Remitter,94.27,87.08,92.37,1.05,6.58,7.63
2025-04,Karur Vysya Bank,Remitter,87.89,81.18,92.36,0.2,7.44,7.64
2025-04,Bandhan Bank limited,Remitter,82.44,77.29,93.75,0.64,5.62,6.26
2025-04,AU Small Finance Bank,Remitter,73.95,64.62,87.39,0.27,12.34,12.61
2025-04,The South Indian Bank Limited,Remitter,66.92,62.96,94.08,0.01,5.91,5.92
2025-04,Punjab and Sind Bank,Remitter,54.5,49.14,90.17,0.47,9.36,9.83
2025-04,City Union Bank,Remitter,52.19,47.26,90.55,0.27,9.18,9.45
2025-04,Ujjivan Small Finance Bank Limited,Remitter,51.6,47.45,91.96,0.94,7.09,8.03
2025-04,Tamilnad Mercantile Bank Limited,Remitter,50.57,46.32,91.59,0.14,8.27,8.41
2025-04,JIO Payments Bank Ltd,Remitter,49.43,39.2,79.3,0.58,20.13,20.71
2025-04,Baroda U.P. Bank,Remitter,43.04,39.51,91.8,1.4,6.8,8.2
2025-04,Kerala Gramin Bank,Remitter,41.93,38.21,91.12,1.2,7.68,8.88
