month_year,bank_name,role_type,total_volume_mn,approved_pct,technical_decline_pct,business_decline_pct,approved_volume_mn,total_decline_pct
2024-08,RBL Bank Ltd.,Remitter,18.51,90.75,40,8.85,16.8,48.85
2024-08,NSDL Payments Bank Limited,Remitter,18.11,84.73,3.47,11.81,15.34,15.28
2024-08,Andhra Pragathi Grameena Bank,Remitter,17.78,85.45,1.61,12.94,15.19,14.55
2025-08,State Bank of India,Remitter,5368.74,93.66,42,5.92,5028.36,47.92
2025-08,HDFC Bank Ltd.,Remitter,1581.09,95.37,1,4.63,1507.89,5.63
2025-08,Bank of Baroda,Remitter,1369.53,91.44,5,8.5,1252.3,13.5
2025-08,Union Bank of India,Remitter,1233.2,92.23,75,7.02,1137.38,82.02
2025-08,Punjab National Bank,Remitter,1131.31,91.2,19,8.61,1031.75,27.61
2025-08,Kotak Mahindra Bank,Remitter,978.17,92.39,13,7.47,903.73,20.47
2025-08,Canara Bank,Remitter,970.63,92.73,36,6.92,900.07,42.92
2025-08,Axis Bank Ltd.,Remitter,902.87,94.96,2,5.03,857.37,7.03
2025-08,ICICI Bank Ltd.,Remitter,752.78,95.66,52,3.82,720.11,55.82
2025-08,India Post Payments Bank Limited,Remitter,674.59,87.92,93,11.15,593.1,104.15
2025-08,Indian Bank,Remitter,653.87,93.05,14,6.81,608.43,20.81
2025-08,Airtel Payments Bank Limited,Remitter,637.23,85.83,12,14.05,546.93,26.05
2025-08,Bank Of India,Remitter,605.1,88.96,4.32,6.72,538.3,11.04
2025-08,Indian Overseas Bank,Remitter,330.15,92.9,64,6.47,306.71,70.47
2025-08,Central Bank of India,Remitter,307.77,91.12,1.08,7.81,280.44,8.89
2025-08,UCO Bank,Remitter,283.93,91.7,37,7.93,260.36,44.93
2025-08,Federal Bank Ltd.,Remitter,266.43,93.11,59,6.3,248.07,65.3
2025-08,Fino Payments Bank Ltd.,Remitter,237.47,86.17,1.42,12.42,204.63,13.84
2025-08,Bank of Maharashtra,Remitter,218.97,93.57,6,6.37,204.89,12.37
2025-08,Indusind Bank Ltd.,Remitter,216.95,90.15,26,9.59,195.58,35.59
2025-08,IDBI Bank Ltd.,Remitter,206.69,92.78,83,6.38,191.77,89.38
2025-08,Yes Bank Ltd.,Remitter,177.66,91.49,15,8.37,162.54,23.37
2025-08,Karnataka Bank,Remitter,142,92.82,7,7.11,131.8,14.11
2025-08,Tri O Tech Solutions Private Limited,Remitter,134.92,100,0,0,134.92,0
2025-08,IDFC Bank Ltd.,Remitter,120.47,93.64,8,6.28,112.81,14.28
2025-08,The Jammu & Kashmir Bank Limited,Remitter,99.01,93.01,1.17,5.82,92.09,6.99
2025-08,Karur Vysya Bank,Remitter,95.13,92.9,59,6.51,88.38,65.51
2025-08,Bandhan Bank limited,Remitter,92.44,94.48,15,5.37,87.34,20.37
2025-08,AU Small Finance Bank,Remitter,79.26,88.14,2.33,9.53,69.86,11.86
2025-08,The South Indian Bank Limited,Remitter,76.06,95.03,24,4.73,72.28,28.73
2025-08,JIO Payments Bank Ltd,Remitter,61.01,84.15,3.55,12.3,51.34,15.85
2025-08,Punjab and Sind Bank,Remitter,59.04,90.64,86,8.5,53.51,94.5
2025-08,City Union Bank,Remitter,57.26,92.59,11,7.3,53.02,18.3
2025-08,Tamilnad Mercantile Bank Limited,Remitter,55.86,92.16,1.28,6.56,51.48,7.84
2025-08,Ujjivan Small Finance Bank Limited,Remitter,54.77,90.46,1.28,8.26,49.54,9.54
2025-08,Baroda U.P. Bank,Remitter,53.78,87.67,7.63,4.69,47.15,12.32
2025-08,NSDL Payments Bank Limited,Remitter,51.33,85.08,1.3,13.62,43.67,14.92
2025-08,Kerala Gramin Bank,Remitter,50.92,90.77,2.69,6.54,46.22,9.23
2025-08,Telangana Grameena Bank,Remitter,40.42,88.02,2.47,9.51,35.58,11.98
2025-08,Maharashtra Gramin Bank,Remitter,38.08,83.77,2.44,13.79,31.9,16.23
2025-08,ESAF Small Finance Bank Ltd,Remitter,34.96,95.92,8,4.01,33.53,12.01
2025-08,Karnataka Gramin Bank,Remitter,34.89,88.91,1.26,9.83,31.02,11.09
2025-08,Rajasthan Marudhara Gramin Bank,Remitter,32.73,85.57,2.69,11.74,28.01,14.43
2025-08,RBL Bank Ltd.,Remitter,32.15,92.71,56,6.73,29.81,62.73
2025-08,Andhra Pragathi Grameena Bank,Remitter,32.07,83.11,3.77,13.12,26.65,16.89
2025-08,DBS Bank India Limited,Remitter,31.37,92.08,1.48,6.44,28.89,7.92
2025-08,Saraswat Co-operative Bank,Remitter,30.02,94.06,1.37,4.57,28.24,5.94
2025-08,Equitas Small Finance Bank,Remitter,29.43,91.02,33,8.64,26.79,41.64
2025-08,Axis Bank Credit Card,Remitter,28.41,95.02,8,4.91,27,12.91
2025-08,Sarva Haryana Gramin Bank,Remitter,26.5,92.03,3.51,4.46,24.39,7.97
2024-12,State Bank of India,Remitter,4540.13,92.94,48,6.58,4219.6,54.58
2024-12,HDFC Bank Ltd.,Remitter,1403.46,93.89,9,6.02,1317.71,15.02
2024-12,Bank of Baroda,Remitter,1125.93,91.71,10,8.19,1032.59,18.19
2024-12,Union Bank of India,Remitter,1070.69,91.91,13,7.96,984.07,20.96
2024-12,Punjab National Bank,Remitter,954.15,89.81,91,9.28,856.92,100.28
2024-12,Kotak Mahindra Bank,Remitter,872.07,90.25,5,9.7,787.04,14.7
2024-12,Canara Bank,Remitter,818.65,91.7,68,7.62,750.7,75.62
2024-12,Axis Bank Ltd.,Remitter,810.01,93.8,3,6.17,759.79,9.17
2024-12,ICICI Bank Ltd.,Remitter,700.67,95.17,11,4.72,666.83,15.72
2024-12,Bank Of India,Remitter,540.44,93.08,11,6.82,503.04,17.82
2024-12,Indian Bank,Remitter,524.93,92.51,13,7.36,485.61,20.36
2024-12,Airtel Payments Bank Limited,Remitter,521.02,87.15,18,12.67,454.07,30.67
2024-12,India Post Payments Bank Ltd.,Remitter,459.83,82.62,4.22,13.15,379.91,17.37
2024-12,Indian Overseas Bank,Remitter,257.21,92.36,65,6.99,237.56,71.99
2024-12,Federal Bank Ltd.,Remitter,245.26,91.87,6,8.07,225.32,14.07
2024-12,Central Bank of India,Remitter,244.52,85.92,43,13.64,210.09,56.64
2024-12,UCO Bank,Remitter,225.35,91.63,12,8.24,206.49,20.24
