bank_name,month_year,remitter_td_pct,beneficiary_td_pct,remitter_debit_friction_delta,remitter_lost_vol_mn,beneficiary_lost_vol_mn
"ESAF Small Finance Bank Ltd",2025-12,30.00,0.25,29.75,11.09,0.04
"Indusind Bank Ltd.",2026-02,30.00,0.29,29.71,66.68,0.54
"Bank of Maharashtra",2024-09,30.00,0.30,29.70,49.50,0.21
"KERALA GRAMIN BANK",2026-01,30.00,0.32,29.68,17.10,0.10
"Bank of Maharashtra",2025-09,30.00,0.33,29.67,64.01,0.27
"Tamilnad Mercantile Bank Limited",2026-04,30.00,0.35,29.65,19.21,0.14
"The South Indian Bank Limited",2025-09,30.00,0.36,29.64,22.19,0.17
"KERALA GRAMIN BANK",2026-02,30.00,0.43,29.57,15.63,0.13
"ICICI Bank",2024-02,29.00,0.12,28.88,156.53,0.74
"Karur Vysya Bank",2026-03,29.00,0.13,28.87,31.36,0.07
"Canara Bank",2024-10,29.00,0.18,28.82,230.61,0.81
"BANDHAN BANK LIMITED",2026-01,29.00,0.20,28.80,28.72,0.12
"State Bank of India",2025-11,29.00,0.21,28.79,1599.08,4.37
"Karur Vysya Bank",2024-10,29.00,0.21,28.79,23.09,0.08
"Punjab And Sind Bank",2026-04,29.00,0.22,28.78,20.02,0.06
"AU small Finance Bank",2024-01,29.00,0.23,28.77,10.87,0.06
"City Union Bank",2024-04,29.00,0.24,28.76,11.50,0.05
"Karnataka Bank",2024-05,29.00,0.30,28.70,31.99,0.14
"Central Bank of India",2026-01,28.00,0.14,27.86,104.59,0.23
"Union Bank of India",2024-06,28.00,0.17,27.83,243.36,0.60
"Punjab National Bank",2025-11,28.00,0.19,27.81,316.59,0.88
"Indian Bank",2025-11,28.00,0.19,27.81,192.69,0.57
"Baroda UP Gramin Bank",2024-09,28.00,0.21,27.79,7.41,0.03
"JIO PAYMENTS BANK LTD",2026-02,28.00,0.23,27.77,24.94,0.23
"IDFC FIRST Bank",2024-03,28.00,0.23,27.77,23.32,0.08
"Airtel Payments Bank Limited",2026-05,28.00,0.24,27.76,216.09,1.25
"Equitas Small Finance Bank",2025-10,28.00,0.24,27.76,8.15,0.04
"Punjab And Sind Bank",2026-03,28.00,0.25,27.75,19.48,0.07
"Equitas Bank",2024-03,28.00,0.28,27.72,9.03,0.04
"Tamilnad Mercantile Bank Limited",2025-09,28.00,0.28,27.72,15.45,0.10
"Canara Bank",2025-09,28.00,0.29,27.71,269.53,1.31
"Bank Of Maharashtra",2026-03,28.00,0.32,27.68,72.89,0.30
"Punjab National Bank",2024-01,27.00,0.13,26.87,167.12,0.35
"Karnataka Gramin Bank",2025-12,27.00,0.15,26.85,14.56,0.04
"Equitas Small Finance Bank",2024-05,27.00,0.19,26.81,9.05,0.03
"Indian Bank",2024-02,27.00,0.20,26.80,95.80,0.40
"UCO Bank",2024-06,27.00,0.20,26.80,49.79,0.17
"Tamilnad Mercantile Bank Limited",2024-12,27.00,0.22,26.78,12.56,0.07
"DBS Bank India Limited",2024-02,27.00,0.26,26.74,6.56,0.03
"City Union Bank",2026-04,27.00,0.28,26.72,16.44,0.09
"Bank of Maharashtra",2025-12,27.00,0.30,26.70,65.18,0.27
"Slice Small Finance Bank Limited",2026-03,27.00,0.45,26.55,18.95,0.15
"Indusind Bank Ltd.",2025-08,26.00,0.11,25.89,56.41,0.22
"IDBI Bank Ltd.",2024-12,26.00,0.18,25.82,48.41,0.14
"Canara Bank",2026-04,26.00,0.21,25.79,299.67,1.09
"Federal Bank",2024-02,26.00,0.21,25.79,48.85,0.66
"Tamilnad Mercantile Bank",2024-01,26.00,0.24,25.76,8.37,0.05
"Indian Overseas Bank",2025-09,26.00,0.26,25.74,85.55,0.41
"ESAF SMALL FINANCE BANK LTD",2026-02,26.00,0.29,25.71,8.87,0.04
"City Union Bank",2024-07,26.00,0.31,25.69,11.28,0.07
"Punjab and Sind Bank",2026-02,26.00,0.35,25.65,15.93,0.09
"DBS Bank India Limited",2024-03,26.00,0.46,25.54,6.93,0.06
"Punjab National Bank",2024-02,25.00,0.11,24.89,157.25,0.31
"Ujjivan Small Finance Bank Limited",2026-03,25.00,0.12,24.88,16.06,0.04
"The Jammu & Kashmir Bank Limited",2026-03,25.00,0.14,24.86,27.03,0.08
"Indusind Bank Ltd.",2025-12,25.00,0.18,24.82,58.12,0.36
"Airtel Payments Bank Limited",2026-02,25.00,0.23,24.77,170.16,1.12
"Bank of Maharashtra",2024-08,25.00,0.34,24.66,40.91,0.23
"BANDHAN BANK LIMITED",2026-02,25.00,0.35,24.65,23.11,0.20
"Yes Bank Ltd",2024-02,24.00,0.01,23.99,22.42,0.24
"The South Indian Bank Limited",2025-08,24.00,0.05,23.95,18.25,0.02
"Airtel Payments Bank Limited",2025-12,24.00,0.09,23.91,171.34,0.45
"Ujjivan Small Finance Bank",2024-04,24.00,0.15,23.85,10.30,0.03
"The South Indian Bank Limited",2025-11,24.00,0.21,23.79,18.51,0.10
"State Bank of India",2026-06,24.00,0.22,23.78,1515.94,4.94
"Indian Bank",2024-05,24.00,0.22,23.78,102.59,0.51
"Union Bank of India",2026-01,24.00,0.24,23.76,324.73,1.24
"Indian Overseas Bank",2024-07,24.00,0.28,23.72,50.41,0.29
"Airtel Payments Bank",2024-02,24.00,0.32,23.68,82.60,0.64
"Union Bank of India",2024-05,24.00,0.43,23.57,210.28,1.53
"Karnataka Bank",2026-01,24.00,0.72,23.28,37.42,0.47
"Yes Bank Ltd.",2024-08,23.00,0.00,23.00,29.07,0.00
"Airtel Payments Bank Limited",2025-09,23.00,0.07,22.93,144.12,0.34
"ESAF Small Finance Bank Ltd.",2024-05,23.00,0.08,22.92,5.27,0.01
"Punjab National Bank",2024-03,23.00,0.11,22.89,167.46,0.34
"IDFC First Bank Ltd",2024-08,23.00,0.12,22.88,20.69,0.05
"Kerala Gramin Bank",2026-03,23.00,0.13,22.87,13.53,0.04
"Ujjivan Small Finance Bank Limited",2026-05,23.00,0.14,22.86,15.31,0.04
"AU small Finance Bank",2026-06,23.00,0.16,22.84,21.76,0.06
"Union Bank Of India",2024-11,23.00,0.17,22.83,227.72,0.67
"Airtel Payments Bank Limited",2026-03,23.00,0.18,22.82,181.07,0.98
"Kotak Mahindra Bank",2024-11,23.00,0.18,22.82,184.94,0.53
"ESAF Small Finance Bank Ltd",2025-10,23.00,0.18,22.82,8.05,0.03
"Punjab and Sind Bank",2024-12,23.00,0.21,22.79,11.33,0.05
"Indian Bank",2026-06,23.00,0.22,22.78,180.15,0.68
"Airtel Payments Bank Limited",2025-11,23.00,0.28,22.72,150.86,1.36
"IDFC First Bank Ltd",2024-09,22.00,0.05,21.95,19.74,0.02
"Indian Overseas Bank",2024-11,22.00,0.10,21.90,51.24,0.12
"Ujjivan Small Finance Bank Limited",2025-11,22.00,0.10,21.90,12.18,0.03
"RBL Bank Ltd.",2024-12,22.00,0.13,21.87,6.29,0.08
"State Bank of India",2024-06,22.00,0.14,21.86,822.36,2.17
"INDUSIND BANK Ltd.",2024-10,22.00,0.15,21.85,40.57,0.26
"Ujjivan Small Finance Bank",2024-03,22.00,0.16,21.84,9.38,0.03
"Fino Payments Bank Limited",2024-05,22.00,0.19,21.81,30.83,0.14
"ESAF Small Finance Bank Ltd.",2024-07,22.00,0.25,21.75,5.29,0.03
"Indian Bank",2025-12,22.00,0.26,21.74,160.33,0.84
"Bank Of India",2025-12,22.00,0.26,21.74,148.60,0.76
"Karur Vysya Bank",2024-04,22.00,0.52,21.48,14.46,0.18
"Fino Payments Bank Ltd.",2026-04,22.00,0.72,21.28,59.07,0.56
"The South Indian Bank Limited",2026-03,21.00,0.05,20.95,17.69,0.03
"Punjab National Bank",2025-10,21.00,0.10,20.90,242.83,0.47
